method,silhouette_score,calinski_score,n_clusters
hdbscan_10_umap,0.71001023,78509.055,123
kmeans_15_umap,0.64632136,10399.544,15
hdbscan_20_umap,0.6364569,18081.885,42
kmeans_20_umap,0.63513553,11886.474,20
kmeans_10_umap,0.62062097,6734.752,10
hdbscan_15_umap,0.6190894,22681.111,68
hdbscan_10_pca,0.43623906,1503.8685,67
kmeans_15_pca,0.3812116,3448.8235,15
kmeans_10_pca,0.37867457,3507.3,10
kmeans_20_pca,0.35548383,3425.6992,20
hdbscan_20_pca,0.34243506,790.379,24
hdbscan_10_direct,0.27961648,51.694637,58
hdbscan_20_direct,0.25288674,107.653885,20
hdbscan_15_pca,0.25135306,776.97144,33
hdbscan_15_direct,0.24573542,79.84385,28
kmeans_15_direct,0.18221794,133.80695,15
kmeans_20_direct,0.1740186,118.59267,20
kmeans_10_direct,0.14765882,137.82062,10
