text,kmeans_3_direct,kmeans_5_direct,kmeans_7_direct,hdbscan_10_direct,hdbscan_15_direct,hdbscan_20_direct,kmeans_3_pca,kmeans_3_umap,kmeans_5_pca,kmeans_5_umap,kmeans_7_pca,kmeans_7_umap,hdbscan_10_pca,hdbscan_10_umap,hdbscan_15_pca,hdbscan_15_umap,hdbscan_20_pca,hdbscan_20_umap
Ausschuss Oberflächenfehler an Getriebegehäuse Ursache Sandbindermangel Kernreparatur läuft,0,0,0,-1,-1,-1,0,0,0,0,2,0,-1,96,-1,49,-1,38
Härteprüfung Sandbindermangel Sandbindermangel vs Kaltlauf Kernreparatur läuft,0,3,3,-1,-1,-1,0,0,4,1,4,5,-1,114,-1,83,-1,47
Röntgenprüfung zeigt Kaltlauf in Zone Lunker,2,2,2,25,20,12,2,1,3,3,6,1,23,52,-1,44,-1,33
Sandausbruch an Radträger Charge,1,1,1,1,2,2,1,1,1,3,1,3,-1,26,-1,23,2,21
Röntgenprüfung zeigt Kaltlauf in Zone Sandausbruch Verdacht Formüberhitzung,2,2,2,35,27,17,2,1,2,3,6,1,40,73,20,58,13,45
Maßabweichung HandlingSchaden Kernschale Verschleißmm vs Sandbindermangel±Kernschale Verschleißmm konform Kernreparatur läuft,0,3,3,51,37,23,0,0,4,1,4,5,49,107,-1,80,-1,60
Härteprüfung Sandbindermangel Lunker vs Lunker ¦ Chargenanalyse Mg Ti,1,1,5,17,13,4,1,0,1,0,5,6,2,83,1,64,1,49
Qualitätsabweichung Kaltlauf Kernschale Verschleiß Raueit Ra Nacharbeit gemäß,0,0,0,-1,-1,-1,0,0,0,0,2,0,-1,104,-1,74,-1,57
Sandfeuchte Sandausbruch außerhalb Toleranz Normabweichung,0,0,0,52,38,24,0,0,0,1,0,0,48,101,26,76,19,53
Bearbeitungsfehler Kaltlauf Sandausbruch ¦ Teil Gießparameter optimiert,0,4,4,-1,21,13,0,1,2,3,2,3,-1,36,-1,15,-1,12
Dichtheitsprüfung Fehler Kernschale Verschleiß mbarmin vs max Sandausbruch Prüfbericht,0,4,4,31,24,15,0,1,0,1,0,1,67,69,37,28,24,23
Härteprüfung Sandausbruch Kernschale Verschleiß vs Lunker,0,3,3,51,37,23,0,0,4,1,4,5,70,-1,42,-1,28,47
Bearbeitungsfehler Sandausbruch HandlingSchaden Teil,0,0,0,55,40,26,0,0,0,0,2,0,51,60,28,46,20,36
Ausschuss Funktionstest an Radträger Ursache Gießtemp zu niedrig °C °C Normabweichung,2,2,6,11,7,7,2,0,3,0,3,3,-1,18,-1,17,-1,14
Spektralanalyse zeigt SiMangel Charge Schleifnacharbeit notwendig,1,1,1,14,10,5,1,1,1,3,1,3,16,30,9,13,2,4
Röntgenprüfung zeigt Formversatz in Zone Sandausbruch Kernreparatur läuft,2,0,2,35,27,17,2,1,2,3,2,1,-1,-1,-1,-1,-1,-1
Kernbruch Ursache HandlingSchaden konform,0,0,0,50,36,22,0,2,4,2,0,2,27,22,13,18,9,15
Kernbruch ¦ Ursache Sandbindermangel ¦ Normabweichung Kernreparatur läuft,0,0,0,-1,-1,-1,0,0,4,1,4,0,-1,91,22,70,15,52
Schmelzofen Holding Furnace TempAbweichung °C,2,2,2,9,1,1,2,2,3,4,3,4,15,3,7,3,6,2
Dichtheitsprüfung Fehler Sandbindermangel mbarmin vs max Kernschale Verschleiß Prüfbericht Wärmenachbehandlung eingeleitet,2,4,6,27,-1,-1,2,0,2,0,6,6,-1,33,-1,27,-1,-1
Härteprüfung Sandausbruch HandlingSchaden vs Lunker,0,3,3,51,37,23,0,0,4,1,0,5,43,109,22,81,15,47
Ausschuss Materialfehler an Radträger Ursache Sandfeuchte zu hoch ≥ Prüfbericht Nacharbeit gemäß,0,0,0,16,12,8,0,0,0,0,2,3,39,17,19,16,14,13
Dichtheitsprüfung Fehler Lunker mbarmin vs max Sandbindermangel Normabweichung Kernreparatur läuft,0,4,4,31,24,15,0,1,4,1,4,1,-1,51,22,28,15,23
Oberflächenrauheit Kernschale Verschleiß außerhalb Spezifikation nicht konform Wärmenachbehandlung eingeleitet,2,2,6,34,26,16,2,1,3,1,3,1,13,7,4,7,4,7
Lunker an Zylinderkopf Charge Chargenanalyse Mg Ti Schleifnacharbeit notwendig,1,1,5,-1,-1,4,1,0,1,0,5,6,2,-1,1,-1,1,-1
Härteprüfung Lunker Kernschale Verschleiß vs Lunker Kernreparatur läuft,0,3,3,-1,-1,-1,0,0,4,1,4,5,74,112,43,-1,28,47
Qualitätsabweichung Kernschale Verschleiß HandlingSchaden Raueit Ra Nacharbeit gemäß,0,0,0,-1,-1,-1,0,0,0,0,2,0,-1,94,-1,-1,-1,-1
Legierungsabweichung Ti Kaltlauf vs Soll Lunker Schleifnacharbeit notwendig,0,3,3,-1,-1,-1,0,0,4,1,4,5,47,89,25,68,18,35
Schmelzofen Holding Furnace TempAbweichung °C Gießparameter optimiert,2,2,2,-1,1,1,2,0,3,0,3,6,9,32,-1,26,-1,20
Sandfeuchte Lunker außerhalb Toleranz konform Schleifnacharbeit notwendig,0,0,0,60,42,-1,0,2,0,2,0,5,69,47,41,41,24,31
Dichtheitsprüfung Fehler Sandausbruch mbarmin vs max Sandbindermangel Wärmenachbehandlung eingeleitet,2,4,6,27,-1,-1,2,0,2,0,2,6,32,33,16,27,11,-1
Qualitätsabweichung Sandbindermangel Kaltlauf Raueit Ra Verdacht Sandfeuchteabweichung,0,0,0,-1,-1,-1,0,0,0,0,0,0,48,103,26,74,19,57
Bearbeitungsfehler Lunker Sandbindermangel Teil Normabweichung,0,0,0,52,38,24,0,0,0,1,0,0,36,100,-1,75,-1,53
