text,kmeans_10_direct,kmeans_15_direct,kmeans_20_direct,hdbscan_10_direct,hdbscan_15_direct,hdbscan_20_direct,kmeans_10_pca,kmeans_10_umap,kmeans_15_pca,kmeans_15_umap,kmeans_20_pca,kmeans_20_umap,hdbscan_10_pca,hdbscan_10_umap,hdbscan_15_pca,hdbscan_15_umap,hdbscan_20_pca,hdbscan_20_umap
Ausschuss Oberflächenfehler an Getriebegehäuse Ursache Sandbindermangel Kernreparatur läuft,3,3,17,-1,-1,-1,9,4,9,4,9,4,-1,24,-1,18,-1,10
Härteprüfung Sandbindermangel Sandbindermangel vs Kaltlauf Kernreparatur läuft,2,2,2,4,4,3,1,0,1,10,1,10,0,-1,0,-1,0,38
Röntgenprüfung zeigt Kaltlauf in Zone Lunker,1,10,15,42,25,19,5,4,5,4,19,7,58,22,40,16,33,8
Sandausbruch an Radträger Charge,8,8,8,63,53,40,0,6,11,6,11,16,34,94,25,69,19,51
Röntgenprüfung zeigt Kaltlauf in Zone Sandausbruch Verdacht Formüberhitzung,5,10,15,43,25,19,5,4,2,4,2,7,-1,23,39,16,31,8
Maßabweichung HandlingSchaden Kernschale Verschleißmm vs Sandbindermangel±Kernschale Verschleißmm konform Kernreparatur läuft,2,2,2,4,4,3,1,0,1,10,1,10,0,128,0,39,0,27
Härteprüfung Sandbindermangel Lunker vs Lunker ¦ Chargenanalyse Mg Ti,4,4,4,58,50,35,6,1,6,1,6,1,2,72,2,56,2,35
Qualitätsabweichung Kaltlauf Kernschale Verschleiß Raueit Ra Nacharbeit gemäß,3,3,17,45,39,25,2,7,0,7,18,7,-1,62,-1,47,-1,31
Sandfeuchte Sandausbruch außerhalb Toleranz Normabweichung,0,0,0,41,37,24,2,3,0,3,16,17,42,25,29,20,23,14
Bearbeitungsfehler Kaltlauf Sandausbruch ¦ Teil Gießparameter optimiert,9,9,9,79,68,26,4,7,4,0,4,0,-1,63,-1,48,-1,33
Dichtheitsprüfung Fehler Kernschale Verschleiß mbarmin vs max Sandausbruch Prüfbericht,5,5,5,32,29,7,2,1,2,13,18,13,64,84,43,65,32,47
