text,kmeans_10_direct,kmeans_15_direct,kmeans_20_direct,hdbscan_10_direct,hdbscan_15_direct,hdbscan_20_direct,kmeans_10_pca,kmeans_10_umap,kmeans_15_pca,kmeans_15_umap,kmeans_20_pca,kmeans_20_umap,hdbscan_10_pca,hdbscan_10_umap,hdbscan_15_pca,hdbscan_15_umap,hdbscan_20_pca,hdbscan_20_umap
Schmelzofen Holding Furnace TempAbweichung °C Nacharbeit gemäß,5,5,5,1,2,2,5,2,8,2,8,2,10,1,5,1,2,1
Sandfeuchte Lunker außerhalb Toleranz,7,11,11,15,11,11,7,8,7,11,7,11,12,3,7,3,2,4
Bearbeitungsfehler Kaltlauf Sandbindermangel Teil Prüfbericht,7,8,18,2,1,1,1,7,7,13,11,13,-1,21,-1,11,2,9
Ausschuss Oberflächenfehler an Getriebegehäuse Ursache Sandbindermangel Kernreparatur läuft,2,10,10,-1,-1,-1,3,4,3,4,3,4,4,7,2,9,3,3
Ausschuss Funktionstest an Getriebegehäuse Ursache HandlingSchaden,2,10,10,-1,-1,-1,3,4,13,4,13,4,4,7,2,9,3,3
Maßabweichung Kaltlauf Kernschale Verschleißmm vs Kernschale Verschleiß±HandlingSchadenmm,8,12,12,10,7,7,0,5,0,5,0,15,1,24,1,17,1,15
Spektralanalyse zeigt TiMangel Charge Nacharbeit gemäß,9,9,9,-1,-1,-1,2,9,2,9,5,17,-1,13,-1,6,-1,6
Röntgenprüfung zeigt Kokillenriss in Zone HandlingSchaden Kernreparatur läuft,4,4,4,4,3,3,5,9,11,10,11,10,14,5,9,5,2,5
Bearbeitungsfehler HandlingSchaden Sandbindermangel Teil Chargenanalyse C Si Wärmenachbehandlung eingeleitet,3,1,3,7,-1,-1,2,7,2,13,17,13,13,21,8,11,2,9
Oberflächenrauheit HandlingSchaden außerhalb Spezifikation,7,7,7,14,10,10,8,6,8,6,8,6,8,9,4,10,2,8
Maßabweichung Sandbindermangel HandlingSchadenmm vs Sandausbruch±Kernschale Verschleißmm nicht konform,8,12,12,10,7,7,0,5,0,5,16,15,1,24,1,17,1,15
Legierungsabweichung Ti HandlingSchaden vs Soll Sandbindermangel Verdacht Sandfeuchteabweichung,6,6,6,-1,-1,-1,9,5,12,14,12,14,1,16,1,13,1,11
Ausschuss Maßhaltigkeit an Zylinderkopf Ursache Kaltlauf,2,10,10,-1,-1,-1,8,4,13,4,13,4,5,7,2,9,3,3
Dichtheitsprüfung Fehler Kaltlauf mbarmin vs max Kaltlauf nicht konform,1,13,13,3,1,1,4,3,9,3,9,3,1,2,1,2,1,2
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max HandlingSchaden,1,13,13,3,1,1,4,3,4,3,9,3,1,2,1,2,1,2
Dichtheitsprüfung Fehler Sandbindermangel mbarmin vs max Sandbindermangel,1,13,13,3,1,1,4,3,4,3,9,3,1,2,1,2,1,2
Spektralanalyse zeigt CuMangel Charge Prüfbericht,9,9,9,12,8,8,6,9,6,9,6,17,-1,12,-1,6,-1,6
Legierungsabweichung Mg HandlingSchaden vs Soll HandlingSchaden Normabweichung,6,6,19,9,6,6,4,5,9,14,9,14,1,16,1,13,1,11
Formversatz an Getriebegehäuse Charge Chargenanalyse C Si Wärmenachbehandlung eingeleitet,3,1,3,-1,-1,-1,5,1,5,1,5,1,-1,14,-1,7,2,7
Kernbruch Ursache HandlingSchaden Normabweichung Wärmenachbehandlung eingeleitet,2,2,17,-1,-1,-1,3,4,13,4,13,18,6,7,2,9,3,3
Schmelzofen Holding Furnace TempAbweichung °C Schleifnacharbeit notwendig,5,5,5,1,2,2,5,2,5,2,15,2,10,1,5,1,2,1
Formdruckabweichung Sandausbruch vs Lunker Form,0,0,16,5,4,4,0,0,0,0,0,0,1,11,1,12,1,10
Maßabweichung HandlingSchaden Sandbindermangelmm vs Sandbindermangel±Sandbindermangelmm Verdacht Formüberhitzung,8,12,6,-1,-1,-1,9,5,12,5,0,5,1,23,1,17,1,15
Sandausbruch an Getriebegehäuse Charge nicht konform Wärmenachbehandlung eingeleitet,2,2,3,-1,-1,-1,5,1,8,1,8,1,-1,-1,-1,7,2,7
Spektralanalyse zeigt TiMangel Charge Wärmenachbehandlung eingeleitet,9,9,3,12,8,8,6,9,6,9,6,9,0,10,0,6,0,6
Ausschuss Oberflächenfehler an Getriebegehäuse Ursache Sandfeuchte zu hoch ≥ Prüfbericht Wärmenachbehandlung eingeleitet,2,10,10,-1,-1,-1,8,4,14,4,14,4,-1,7,-1,9,-1,3
Ausschuss Oberflächenfehler an Zylinderkopf Ursache Lunker Wärmenachbehandlung eingeleitet,2,10,10,-1,-1,-1,8,4,14,4,14,4,-1,7,-1,9,-1,3
Qualitätsabweichung Sandausbruch Kernschale Verschleiß Raueit Ra Gießparameter optimiert,0,2,2,-1,-1,-1,7,7,1,7,1,7,12,17,7,14,2,12
Bearbeitungsfehler Kernschale Verschleiß Kaltlauf Teil,7,8,18,2,1,1,7,7,1,13,19,13,-1,21,-1,11,-1,9
Röntgenprüfung zeigt Gasporosität in Zone Kaltlauf,4,4,4,4,3,3,2,9,2,10,5,10,13,5,8,5,2,5
Qualitätsabweichung Sandausbruch Sandbindermangel Raueit Ra Prüfbericht,0,2,2,8,-1,-1,1,7,7,7,1,7,12,17,7,14,2,12
Spektralanalyse zeigt SiMangel Charge nicht konform,9,9,9,12,8,8,6,9,2,9,2,17,-1,13,-1,6,2,6
Lunker an Radträger Charge Chargenanalyse C Si,3,1,1,-1,-1,-1,2,7,2,13,17,13,-1,-1,-1,11,2,9
Ausschuss Materialfehler an Zylinderkopf Ursache Sandfeuchte zu hoch ≥ teilkonform,2,10,10,-1,-1,-1,8,4,8,4,8,4,-1,7,2,9,3,3
