Zeitstempel,Teilenummer,Kategorie,Kommentar,Schweregrad,Charge,Werk
2024-09-21T13:37:48,GX-76115,gussfehler,Ausschuss Oberflächenfehler an Getriebegehäuse | Ursache: Sandbindermangel | Kernreparatur läuft,1.0,CH-vRZY-9526,Gießerei Leipzig
2025-02-27T12:06:11,GX-09432,endpruefung,Härteprüfung Sandbindermangel: Sandbindermangel HV vs. Kaltlauf | Kernreparatur läuft,2.0,CH-xNoB-9243,Gießerei Leipzig
2024-11-09T18:24:11,GX-48369,endpruefung,Röntgenprüfung zeigt Kaltlauf in Zone Lunker,1.0,CH-bMVy-9252,Gießerei Leipzig
2024-05-29T20:17:57,GX-92830,gussfehler,Sandausbruch an Radträger (GX-92830) | Charge CH-mWYL-6378,1.0,CH-mWYL-6378,Gießerei Wolfsburg
2025-01-17T15:28:42,GX-10353,endpruefung,Röntgenprüfung zeigt Kaltlauf in Zone Sandausbruch (Verdacht: Formüberhitzung),1.0,CH-FthK-6315,Gießerei Stuttgart
2025-02-19T08:02:28,GX-74364,nachbearbeitung,Maßabweichung Handling-Schaden: Kernschale Verschleißmm vs. Sandbindermangel±Kernschale Verschleißmm | IATF-Konformität: konform | Kernreparatur läuft,3.0,CH-tidi-0395,Gießerei Stuttgart
2024-10-04T15:46:52,GX-56617,endpruefung,"Härteprüfung Sandbindermangel: Lunker HV vs. Lunker ¦ Chargenanalyse: Mg:0.4%, Ti:0.1%",1.0,CH-GZXY-8758,Gießerei Leipzig
2024-12-25T23:15:40,GX-95300,gussfehler,Qualitätsabweichung Kaltlauf: Kernschale Verschleiß; Raueit Ra 9.4 µm | Nacharbeit gemäß VDA 6.3,1.0,CH-ofrR-2767,Gießerei Stuttgart
2024-09-20T14:46:23,GX-63692,formprozess,Sandfeuchte Sandausbruch% außerhalb Toleranz (2.8-3.2%) | Normabweichung: DIN 1681,2.0,CH-LZcE-9472,Gießerei Leipzig
2024-11-22T20:45:14,GX-31256,nachbearbeitung,Bearbeitungsfehler Kaltlauf: Sandausbruch ¦ Teil GX-31256 | Gießparameter optimiert,1.0,CH-fdPC-3738,Gießerei Wolfsburg
2024-05-24T11:00:03,GX-16755,endpruefung,Dichtheitsprüfung Fehler: Kernschale Verschleiß mbar/min vs. max Sandausbruch | Prüfbericht: PRF-54531,1.0,CH-Vbld-3945,Gießerei Stuttgart
2024-06-28T11:38:52,GX-27994,endpruefung,Härteprüfung Sandausbruch: Kernschale Verschleiß HV vs. Lunker,2.0,CH-KafR-7185,Gießerei Leipzig
2024-05-31T06:49:01,GX-95937,nachbearbeitung,Bearbeitungsfehler Sandausbruch: Handling-Schaden | Teil GX-95937,2.0,CH-LnyE-0599,Gießerei Wolfsburg
2024-05-03T11:05:35,GX-37734,gussfehler,Ausschuss Funktionstest an Radträger | Ursache: Gießtemp. zu niedrig (650°C < 720°C) | Normabweichung: ISO 8062,3.0,CH-zUyu-1601,Gießerei Leipzig
2024-11-28T09:12:07,GX-40439,schmelzprozess,Spektralanalyse zeigt Si-Mangel | Charge CH-wUfA-0685 | Schleifnacharbeit notwendig,1.0,CH-wUfA-0685,Gießerei Leipzig
2024-05-16T09:57:13,GX-22416,endpruefung,Röntgenprüfung zeigt Formversatz in Zone Sandausbruch | Kernreparatur läuft,1.0,CH-lPke-0092,Gießerei Wolfsburg
2024-05-19T23:18:27,GX-04627,formprozess,Kernbruch K-1577 | Ursache: Handling-Schaden | IATF-Konformität: konform,1.0,CH-qXJI-1706,Gießerei Leipzig
2025-03-10T04:08:36,GX-27936,formprozess,Kernbruch K-1676 ¦ Ursache: Sandbindermangel ¦ Normabweichung: VDA 6.3 | Kernreparatur läuft,1.0,CH-nWSe-2654,Gießerei Wolfsburg
2024-04-30T05:32:52,GX-83860,schmelzprozess,Schmelzofen Holding Furnace 2 Temp-Abweichung: 737°C,1.0,CH-qZZD-6992,Gießerei Leipzig
2024-08-01T09:55:36,GX-49700,endpruefung,Dichtheitsprüfung Fehler: Sandbindermangel mbar/min vs. max Kernschale Verschleiß | Prüfbericht: PRF-55005 | Wärmenachbehandlung eingeleitet,2.0,CH-FFhq-9174,Gießerei Leipzig
2024-09-16T08:21:00,GX-56678,endpruefung,Härteprüfung Sandausbruch: Handling-Schaden HV vs. Lunker,3.0,CH-psTI-4997,Gießerei Stuttgart
2024-07-12T11:34:19,GX-82219,gussfehler,Ausschuss Materialfehler an Radträger | Ursache: Sandfeuchte zu hoch (≥3.5%) | Prüfbericht: PRF-51969 | Nacharbeit gemäß VDA 6.3,2.0,CH-JmIm-7516,Gießerei Stuttgart
2024-05-06T16:48:40,GX-46040,endpruefung,Dichtheitsprüfung Fehler: Lunker mbar/min vs. max Sandbindermangel | Normabweichung: DIN 1681 | Kernreparatur läuft,2.0,CH-PHKh-6172,Gießerei Stuttgart
2024-09-19T05:40:30,GX-01191,nachbearbeitung,Oberflächenrauheit Kernschale Verschleiß µm außerhalb Spezifikation | IATF-Konformität: nicht konform | Wärmenachbehandlung eingeleitet,1.0,CH-bbjM-0768,Gießerei Stuttgart
2024-05-25T01:32:25,GX-01147,gussfehler,"Lunker an Zylinderkopf (GX-01147) | Charge CH-Gddz-1544 | Chargenanalyse: Mg:0.4%, Ti:0.1% | Schleifnacharbeit notwendig",2.0,CH-Gddz-1544,Gießerei Leipzig
